1495771306.0861788:::"RT @mohitfreedom: India's #Uzma returns from #Pakistan https:\/\/t.co\/rOyZLG86kM"
1495771306.1111884:::"RT @mohitfreedom: India's #Uzma returns from #Pakistan https:\/\/t.co\/rOyZLG86kM"
1495771306.2062032:::"RT @mohitfreedom: #3yearsofModiGovt #India #Africa  PM @narendramodi : #Africa a top priority for India\u2019s foreign and economic policy : Hap\u2026"
1495771306.4512055:::"RT @PplOfIndia: As Kashmiris r allowed2settle in other states of India, do Indian govt jobs etc., any Indian citizen shd be free2se\u2026 "
1495771306.4662068:::"RT @Iankitksingh03: \u092a\u093e\u0915\u093f\u0938\u094d\u0924\u093e\u0928 \u092e\u094c\u0924 \u0915\u093e \u0915\u0941\u0906\u0902 \u0928\u0939\u0940\u0902 \u0939\u0948 \u0915\u093f\u0921\u093c\u093e \u0915\u093e \u0928\u093e\u0932\u093e \u0939\u0948 \u091c\u094b \u0935\u0939\u093e\u0945 \u091c\u093e\u090f\u0917\u093e \u0935\u0939 \u092e\u0930 \u091c\u093e\u090f\u0917\u093e \u092a\u093e\u0915\u093f\u0938\u094d\u0924\u093e\u0928 \u0905\u092c \u0924\u0941\u0930\u0902\u0924 \u0916\u0924\u094d\u092e \u0939\u094b\u0928\u0947 \u0935\u093e\u0932\u093e \u0939\u0948\ud83d\ude20\nhttps:\/\/\u2026"
1495771306.6212442:::"RT @mohitfreedom: #3yearsofModiGovt #India #Africa  PM @narendramodi : #Africa a top priority for India\u2019s foreign and economic policy : Hap\u2026"
1495771306.7912774:::"RT @mohitfreedom: India's #Uzma returns from #Pakistan https:\/\/t.co\/rOyZLG86kM"
1495771306.8712945:::"RT @AndColorPockeT: Since Pakistan has returned India's daughter Ujhma safely, now it's time for India to behave like a good neighbor and r\u2026"
1495771307.246217:::"RT @mkvenu1: Shocking! Woman police officer says she witnessed 3rd degree torture of tribal girls in Bastar.https:\/\/t.co\/i1jJu7mnfL"
1495771307.5412366:::"RT @ZeeNewsHindi: \u0926\u0915\u094d\u0937\u093f\u0923 \u0915\u094b\u0930\u093f\u092f\u093e \u0928\u0947 \u0915\u0940 \u0938\u0940\u092e\u093e \u092a\u0930 \u0917\u094b\u0932\u0940\u092c\u093e\u0930\u0940, \u0915\u094b \u0909\u0924\u094d\u0924\u0930 \u0915\u094b\u0930\u093f\u092f\u093e \u0928\u0947 \u092c\u0924\u093e\u092f\u093e \u0909\u0915\u0938\u093e\u0935\u0947 \u0915\u0940 \u0915\u093e\u0930\u094d\u0930\u0935\u093e\u0908\nhttps:\/\/t.co\/pMyKHWnM1E"
1495771307.6903543:::"RT @tufailelif: This is hypocrisy of India's RW to bash up Pakistan -- and become mute and dumb about those who make our policy on\u2026 "
1495771307.8206503:::"RT @mohitfreedom: #3yearsofModiGovt #India #Africa  PM @narendramodi : #Africa a top priority for India\u2019s foreign and economic policy : Hap\u2026"
